set_no,card_no,row_no,c1,c2,c3,c4,c5,c6,c7,c8,c9
39,5,1,4,,,31,40,,65,,80
39,5,2,,,25,,45,50,,71,83
39,5,3,,16,,35,49,,,76,89
39,6,1,,,21,33,,59,,72,84
39,6,2,,15,27,,42,,61,,86
39,6,3,7,,,39,48,,66,79,
40,1,1,,15,20,,41,,,72,80
40,1,2,1,,22,34,,,65,,84
40,1,3,7,,25,,,50,,75,89
40,2,1,,,26,,40,53,64,,87
40,2,2,3,,29,33,,57,,73,
40,2,3,,14,,39,43,,66,79,
40,3,1,6,,,31,,52,,70,82
40,3,2,,,27,37,,59,60,76,
40,3,3,,19,,38,42,,67,,85
40,4,1,2,10,24,,48,,62,,
40,4,2,5,12,,32,,,69,,90
40,4,3,8,17,28,,,56,,78,
40,5,1,,11,,36,45,,61,,81
40,5,2,,13,21,,47,51,,,83
40,5,3,4,16,,,49,58,,74,
40,6,1,,,23,,44,54,63,,86
40,6,2,9,,,30,46,,68,71,
40,6,3,,18,,35,,55,,77,88
41,1,1,,17,21,,47,,,74,85
41,1,2,2,,23,37,,,63,,86
41,1,3,9,,28,,,55,,76,90
41,2,1,,,20,,44,52,61,,83
41,2,2,5,,24,31,,58,,70,
41,2,3,,12,,36,48,,68,78,
41,3,1,8,,,30,,51,,71,80
41,3,2,,,29,32,,54,62,77,
41,3,3,,13,,35,45,,65,,88
41,4,1,1,11,22,,49,,60,,
41,4,2,4,14,,39,,,66,,89
41,4,3,6,18,26,,,53,,73,
41,5,1,,10,,34,40,,67,,82
41,5,2,,15,25,,42,57,,,87
41,5,3,3,19,,,46,59,,75,
41,6,1,,,27,,41,50,64,,81
41,6,2,7,,,33,43,,69,72,
41,6,3,,16,,38,,56,,79,84
42,1,1,1,,22,,,50,,71,82
42,1,2,,13,,36,,58,,74,86
42,1,3,9,,27,,43,,66,,90
42,2,1,,,24,32,40,,60,,80
42,2,2,5,,28,,42,51,68,,
42,2,3,,12,,38,45,55,,75,
42,3,1,8,,,31,,,62,70,83
42,3,2,,18,,33,44,,69,72,
42,3,3,,,29,39,,59,,78,87
42,4,1,4,11,20,,41,,64,,
42,4,2,,14,26,,49,52,,77,
42,4,3,7,19,,35,,56,,,89
42,5,1,2,10,,30,,53,61,,
42,5,2,,15,21,34,,57,,79,
42,5,3,6,,23,,47,,63,,85
42,6,1,,,25,,46,54,,73,81
42,6,2,3,16,,37,,,65,,84
42,6,3,,17,,,48,,67,76,88
43,1,1,2,,20,,,52,,76,81
43,1,2,,19,,39,,57,,78,85
43,1,3,7,,25,,48,,64,,89
43,2,1,,,21,31,41,,61,,84
43,2,2,4,,26,,43,54,67,,
43,2,3,,14,,35,47,56,,72,
43,3,1,1,,,32,,,63,73,80
43,3,2,,15,,34,46,,65,77,
43,3,3,,,23,37,,53,,79,88
43,4,1,3,10,22,,40,,68,,
43,4,2,,13,29,,45,50,,71,
43,4,3,9,16,,30,,55,,,87
43,5,1,5,12,,36,,51,60,,
43,5,2,,17,24,38,,59,,75,
43,5,3,8,,27,,49,,69,,82
43,6,1,,,28,,42,58,,70,83
43,6,2,6,11,,33,,,62,,86
43,6,3,,18,,,44,,66,74,90
44,1,1,1,,,31,46,53,,,80
44,1,2,9,,24,34,,55,60,,
44,1,3,,12,,38,47,,68,75,
44,2,1,3,,22,30,,52,,,82
44,2,2,6,10,,35,,57,,71,
44,2,3,,19,27,,40,,67,,85
44,3,1,7,,,,42,50,,70,88
44,3,2,,11,21,,43,,63,,90
44,3,3,,15,,36,45,,64,76,
44,4,1,,13,20,,48,,69,,81
44,4,2,2,17,,32,,51,,72,
44,4,3,5,,23,37,,54,,77,
44,5,1,,,26,33,,58,61,,86
44,5,2,4,,28,,44,,,74,89
44,5,3,,14,29,,49,,65,79,
44,6,1,,16,,,41,56,,73,83
44,6,2,,18,,39,,59,62,,84
44,6,3,8,,25,,,,66,78,87
45,1,1,2,,,30,41,51,,,83
45,1,2,4,,28,32,,59,61,,
45,1,3,,11,,36,48,,69,74,
45,2,1,1,,20,37,,56,,,87
45,2,2,8,16,,39,,58,,77,
45,2,3,,17,26,,49,,65,,89
45,3,1,5,,,,40,54,,72,84
45,3,2,,13,29,,44,,60,,86
45,3,3,,18,,33,47,,62,78,
45,4,1,,10,21,,42,,68,,88
45,4,2,3,14,,31,,50,,73,
45,4,3,7,,25,35,,57,,76,
45,5,1,,,22,38,,55,64,,80
45,5,2,9,,23,,45,,,71,85
45,5,3,,15,27,,46,,66,75,
45,6,1,,12,,,43,52,,70,81
45,6,2,,19,,34,,53,63,,82
45,6,3,6,,24,,,,67,79,90
46,1,1,2,,21,,41,51,,,81
46,1,2,,14,27,,47,,67,71,
46,1,3,4,,28,39,,54,,75,
46,2,1,,13,,30,,,66,72,83
46,2,2,7,,22,,44,,68,,85
46,2,3,,15,,38,,57,,79,88
46,3,1,,10,,35,42,,65,,84
46,3,2,,16,25,,49,55,,76,
46,3,3,5,18,,37,,,69,,89
46,4,1,,12,,31,,52,61,70,
46,4,2,1,,20,36,,,64,,80
46,4,3,6,,26,,40,59,,74,
46,5,1,3,,23,32,,53,62,,
46,5,2,8,11,,34,,58,,77,
46,5,3,,19,29,,43,,63,,90
46,6,1,9,,,,45,50,,73,82
46,6,2,,,24,,46,56,,78,86
46,6,3,,17,,33,48,,60,,87
47,1,1,3,,23,,42,53,,,82
47,1,2,,18,24,,46,,63,73,
47,1,3,9,,26,31,,56,,74,
47,2,1,,10,,32,,,60,70,81
47,2,2,6,,29,,48,,64,,84
47,2,3,,19,,33,,59,,78,90
47,3,1,,11,,34,41,,67,,83
47,3,2,,12,20,,45,52,,77,
47,3,3,1,17,,36,,,68,,86
47,4,1,,14,,30,,51,62,72,
47,4,2,2,,25,37,,,69,,87
47,4,3,8,,28,,44,55,,76,
47,5,1,5,,22,38,,50,61,,
47,5,2,7,15,,39,,57,,71,
47,5,3,,16,27,,47,,65,,85
47,6,1,4,,,,40,54,,75,80
47,6,2,,,21,,43,58,,79,88
47,6,3,,13,,35,49,,66,,89
48,1,1,1,,23,,42,,61,73,
48,1,2,5,12,,35,,52,,,83
48,1,3,9,,26,,45,58,,78,
48,2,1,,11,21,,,57,66,71,
48,2,2,3,,28,,49,,68,,81
48,2,3,,17,,39,,,69,75,84
48,3,1,7,,,,44,54,,70,85
48,3,2,,16,,32,48,56,,72,
48,3,3,,,22,36,,,63,76,88
48,4,1,,,20,30,,50,62,,82
48,4,2,2,,24,34,,51,,77,
48,4,3,,19,27,,46,59,65,,
48,5,1,4,10,,,40,53,,,86
48,5,2,,14,,38,41,,,74,87
48,5,3,6,,29,,47,,67,,89
48,6,1,,13,,31,,,60,79,80
48,6,2,,15,25,33,,55,,,90
48,6,3,8,18,,37,43,,64,,
49,1,1,2,,20,,41,,62,70,
49,1,2,4,14,,33,,51,,,86
49,1,3,8,,29,,43,55,,72,
49,2,1,,10,24,,,59,60,74,
49,2,2,5,,25,,47,,64,,82
49,2,3,,13,,37,,,67,76,90
49,3,1,6,,,,40,50,,71,80
49,3,2,,15,,30,46,53,,77,
49,3,3,,,27,31,,,65,79,89
49,4,1,,,21,35,,52,61,,87
49,4,2,1,,22,39,,56,,73,
49,4,3,,12,26,,48,57,68,,
49,5,1,3,17,,,42,58,,,81
49,5,2,,18,,36,44,,,75,83
49,5,3,9,,28,,49,,66,,88
49,6,1,,11,,32,,,63,78,84
49,6,2,,16,23,34,,54,,,85
49,6,3,7,19,,38,45,,69,,
50,1,1,3,,25,,,50,62,73,
50,1,2,4,11,,33,,57,,77,
50,1,3,,15,26,,46,,67,,82
50,2,1,,,20,,44,,61,71,85
50,2,2,6,,27,,49,56,,,87
50,2,3,,14,,37,,,64,74,88
50,3,1,8,,28,,41,,60,,81
50,3,2,,,29,,43,53,,79,86
50,3,3,,12,,39,48,,65,,90
50,4,1,,10,,31,,51,,72,89
50,4,2,1,13,,35,42,,66,,
50,4,3,2,,24,38,,59,,78,
50,5,1,5,,,30,45,,63,,83
50,5,2,,17,21,,47,54,,76,
50,5,3,9,,22,32,,58,68,,
50,6,1,,16,,34,,52,,70,80
50,6,2,,18,23,,40,,69,,84
50,6,3,7,19,,36,,55,,75,
51,1,1,1,,21,,,51,63,70,
51,1,2,9,10,,35,,54,,76,
51,1,3,,18,23,,45,,69,,86
51,2,1,,,22,,40,,66,75,80
51,2,2,2,,24,,47,59,,,81
51,2,3,,19,,32,,,68,78,89
51,3,1,5,,25,,42,,61,,82
51,3,2,,,27,,46,58,,72,84
51,3,3,,13,,38,49,,67,,88
51,4,1,,12,,30,,52,,71,90
51,4,2,4,16,,36,43,,65,,
51,4,3,7,,28,37,,53,,79,
51,5,1,3,,,31,41,,60,,85
51,5,2,,11,20,,44,50,,77,
51,5,3,8,,29,34,,55,62,,
51,6,1,,14,,33,,56,,73,83
51,6,2,,15,26,,48,,64,,87
51,6,3,6,17,,39,,57,,74,
52,1,1,,13,,33,43,51,,,80
52,1,2,3,,20,39,45,,64,,
52,1,3,,18,26,,47,59,,73,
52,2,1,5,,,34,,54,,71,82
52,2,2,,12,28,,49,,66,,84
52,2,3,,17,,36,,56,,76,90
52,3,1,,11,,30,41,,,70,83
52,3,2,2,,23,,46,55,,74,
52,3,3,,15,,38,48,,63,77,
52,4,1,1,,21,,,50,61,,81
52,4,2,9,,24,,42,,65,72,
52,4,3,,16,,37,,52,68,,86
52,5,1,4,,22,,,53,60,,85
52,5,2,,19,25,,44,,69,,87
52,5,3,6,,29,32,,58,,78,
52,6,1,7,10,,31,,,62,75,
52,6,2,,14,,35,,57,,79,88
52,6,3,8,,27,,40,,67,,89
53,1,1,,11,,31,40,50,,,89
53,1,2,9,,26,38,41,,62,,
53,1,3,,14,27,,44,57,,77,
53,2,1,4,,,30,,52,,70,81
53,2,2,,15,25,,48,,69,,85
53,2,3,,16,,32,,58,,75,88
53,3,1,,10,,35,42,,,72,86
53,3,2,8,,29,,45,53,,78,
53,3,3,,19,,37,49,,65,79,
53,4,1,1,,20,,,54,60,,80
53,4,2,6,,22,,47,,63,73,
53,4,3,,17,,33,,55,66,,82
53,5,1,2,,21,,,51,61,,83
53,5,2,,13,23,,43,,67,,90
53,5,3,7,,28,36,,56,,76,
53,6,1,3,12,,34,,,64,71,
53,6,2,,18,,39,,59,,74,84
53,6,3,5,,24,,46,,68,,87
54,1,1,1,,,32,42,51,,,83
54,1,2,3,19,,35,,,67,,88
54,1,3,6,,22,,48,55,,75,
54,2,1,,15,20,,,50,62,72,
54,2,2,5,,28,,49,,65,,80
54,2,3,,17,,37,,58,,73,82
54,3,1,,10,21,30,,53,,71,
54,3,2,,,27,31,,,66,74,84
54,3,3,9,,,33,43,59,,79,
54,4,1,2,12,23,,,,64,,87
54,4,2,7,,25,34,41,,,77,
54,4,3,,18,29,38,,56,,,90
54,5,1,8,,,,45,52,60,,81
54,5,2,,11,26,,46,54,,78,
54,5,3,,16,,36,47,,68,,86
54,6,1,,13,,,40,57,61,,85
54,6,2,4,,24,,44,,63,70,
54,6,3,,14,,39,,,69,76,89
55,1,1,2,,,32,41,53,,,85
55,1,2,4,13,,33,,,63,,90
55,1,3,7,,22,,46,56,,74,
55,2,1,,16,20,,,52,60,71,
55,2,2,3,,28,,47,,69,,87
55,2,3,,18,,35,,54,,76,89
55,3,1,,17,21,30,,50,,70,
55,3,2,,,27,37,,,64,77,86
55,3,3,6,,,38,45,57,,78,
55,4,1,1,11,23,,,,68,,80
55,4,2,8,,25,31,44,,,75,
55,4,3,,14,29,39,,59,,,84
55,5,1,9,,,,40,51,61,,82
55,5,2,,12,26,,42,58,,73,
55,5,3,,15,,36,49,,66,,88
55,6,1,,10,,,43,55,62,,81
55,6,2,5,,24,,48,,65,72,
55,6,3,,19,,34,,,67,79,83
56,1,1,,13,,36,,50,63,,80
56,1,2,2,,21,,44,,66,75,
56,1,3,7,,27,37,,54,,,85
56,2,1,,10,22,,,52,,76,84
56,2,2,9,,24,,45,57,,,87
56,2,3,,17,,32,46,,69,,90
56,3,1,,,29,,41,,62,70,81
56,3,2,8,,,30,49,,68,71,
56,3,3,,16,,34,,55,,78,89
56,4,1,1,,20,31,,59,,72,
56,4,2,,18,,39,42,,60,,83
56,4,3,4,,23,,47,,65,77,
56,5,1,3,11,,,40,,64,,82
56,5,2,5,14,,38,,51,,73,
56,5,3,,19,26,,,58,67,,88
56,6,1,6,,25,33,43,,,,86
56,6,2,,12,28,,48,53,,74,
56,6,3,,15,,35,,56,61,79,
57,1,1,,14,,30,,53,61,,82
57,1,2,1,,20,,43,,67,74,
57,1,3,5,,26,39,,58,,,86
57,2,1,,12,23,,,51,,77,80
57,2,2,4,,28,,40,56,,,81
57,2,3,,15,,35,47,,64,,88
57,3,1,,,25,,42,,60,72,83
57,3,2,2,,,33,48,,63,76,
57,3,3,,19,,38,,59,,79,84
57,4,1,3,,21,32,,52,,71,
57,4,2,,17,,37,41,,62,,87
57,4,3,7,,29,,46,,69,73,
57,5,1,6,10,,,49,,66,,85
57,5,2,9,13,,31,,54,,75,
57,5,3,,16,22,,,55,68,,90
57,6,1,8,,24,34,44,,,,89
57,6,2,,11,27,,45,50,,70,
57,6,3,,18,,36,,57,65,78,
58,1,1,,16,23,,46,,,71,82
58,1,2,1,,,32,48,,66,,88
58,1,3,8,,25,35,,53,,77,
58,2,1,3,,22,,,52,62,,84
58,2,2,7,12,28,,42,,67,,
58,2,3,,18,,39,,56,,74,90
58,3,1,6,15,,,44,59,,75,
58,3,2,,19,,33,47,,63,,81
58,3,3,9,,26,,,,65,79,85
58,4,1,,10,,34,,54,,70,80
58,4,2,2,,21,,40,,60,,89
58,4,3,,17,24,,49,,64,73,
58,5,1,5,,,30,,50,61,72,
58,5,2,,,27,31,,55,68,78,
58,5,3,,14,,38,45,58,,,83
58,6,1,,11,20,,41,,69,76,
58,6,2,,13,,36,43,51,,,86
58,6,3,4,,29,37,,57,,,87
59,1,1,1,15,,30,40,,69,,
59,1,2,3,,25,34,,53,,,85
59,1,3,6,17,,,48,55,,77,
59,2,1,,,21,35,,50,,70,87
59,2,2,4,,23,,42,,62,74,
59,2,3,,14,26,,,59,66,,90
59,3,1,,10,,,46,,65,72,80
59,3,2,8,12,,39,,,67,73,
59,3,3,,19,28,,,56,,79,82
59,4,1,2,11,,,44,,60,,81
59,4,2,,18,,31,,,64,78,86
59,4,3,9,,22,37,,54,,,89
59,5,1,7,,,32,41,51,,,83
59,5,2,,,29,,47,57,,71,88
59,5,3,,13,,36,,58,63,76,
59,6,1,,,20,33,43,,61,,84
59,6,2,,16,24,,45,52,,75,
59,6,3,5,,27,38,49,,68,,
60,1,1,,10,20,,40,,,72,82
60,1,2,2,,,34,45,,68,,90
60,1,3,5,,24,36,,51,,73,
60,2,1,1,,21,,,50,64,,84
60,2,2,6,13,29,,41,,69,,
60,2,3,,17,,37,,58,,70,88
60,3,1,4,11,,,43,55,,76,
60,3,2,,14,,30,49,,60,,85
60,3,3,8,,27,,,,61,78,89
60,4,1,,16,,31,,56,,71,81
60,4,2,3,,22,,42,,62,,86
60,4,3,,19,25,,46,,66,74,
60,5,1,9,,,33,,52,65,75,
60,5,2,,,28,35,,54,67,77,
60,5,3,,12,,39,47,57,,,83
60,6,1,,15,23,,44,,63,79,
60,6,2,,18,,32,48,53,,,80
60,6,3,7,,26,38,,59,,,87
61,1,1,2,10,,36,43,,69,,
61,1,2,5,,24,38,,50,,,84
61,1,3,7,12,,,47,52,,72,
61,2,1,,,22,33,,51,,73,83
61,2,2,9,,27,,45,,60,76,
61,2,3,,18,29,,,58,63,,89
61,3,1,,11,,,49,,61,71,81
61,3,2,6,13,,32,,,64,75,
61,3,3,,16,20,,,57,,77,88
61,4,1,1,15,,,46,,62,,80
61,4,2,,19,,30,,,65,74,85
61,4,3,4,,23,39,,53,,,87
61,5,1,3,,,35,40,54,,,82
61,5,2,,,21,,42,56,,70,86
61,5,3,,14,,37,,59,66,78,
61,6,1,,,25,31,41,,67,,90
61,6,2,,17,26,,44,55,,79,
61,6,3,8,,28,34,48,,68,,
62,1,1,4,12,,,41,,62,,80
62,1,2,7,,21,,46,,66,,85
62,1,3,,16,,37,,54,,70,88
62,2,1,,13,27,,40,51,,,87
62,2,2,3,,,39,,53,64,71,
62,2,3,8,,29,,42,56,,78,
62,3,1,,11,,33,,,67,72,83
62,3,2,1,14,,35,,57,,,84
62,3,3,,19,24,,48,,69,75,
62,4,1,2,,,36,,59,,73,81
62,4,2,,15,,38,43,,61,76,
62,4,3,9,,25,,49,,65,,82
62,5,1,,10,20,,44,,60,74,
62,5,2,6,,23,31,,50,,79,
62,5,3,,18,28,34,,,68,,89
62,6,1,5,,22,30,,52,,,86
62,6,2,,17,,32,45,55,,77,
62,6,3,,,26,,47,58,63,,90
63,1,1,2,12,,,44,,64,,81
63,1,2,6,,23,,47,,65,,86
63,1,3,,17,,32,,55,,75,89
63,2,1,,14,20,,41,50,,,82
63,2,2,5,,,38,,52,68,74,
63,2,3,9,,26,,49,54,,76,
63,3,1,,10,,30,,,61,73,83
63,3,2,3,13,,34,,58,,,90
63,3,3,,18,25,,43,,63,77,
63,4,1,1,,,31,,56,,72,80
63,4,2,,16,,37,42,,62,79,
63,4,3,4,,28,,45,,69,,85
63,5,1,,11,21,,40,,60,70,
63,5,2,8,,22,35,,53,,78,
63,5,3,,15,24,39,,,66,,88
63,6,1,7,,27,33,,51,,,84
63,6,2,,19,,36,46,57,,71,
63,6,3,,,29,,48,59,67,,87
64,1,1,,12,,30,,50,63,,84
64,1,2,5,,24,34,,55,,72,
64,1,3,,19,,35,42,56,,76,
64,2,1,8,,23,,45,,64,,80
64,2,2,,13,,37,,51,,71,89
64,2,3,9,,27,,,52,69,78,
64,3,1,,14,,31,46,,60,,83
64,3,2,2,,26,38,,57,,73,
64,3,3,,18,,39,48,,68,,86
64,4,1,1,,20,,41,,62,,85
64,4,2,7,,25,,44,,67,70,
64,4,3,,15,,33,,58,,79,90
64,5,1,6,,22,,40,,61,,82
64,5,2,,11,29,,43,,,74,87
64,5,3,,16,,36,,54,66,77,
64,6,1,3,,21,32,,53,,75,
64,6,2,,10,28,,47,59,,,81
64,6,3,4,17,,,49,,65,,88
65,1,1,1,,22,,40,,65,,84
65,1,2,8,,23,35,,51,,73,
65,1,3,,16,29,,45,,68,,86
65,2,1,,11,,32,,53,64,,87
65,2,2,2,19,,36,,58,,70,
65,2,3,5,,26,,44,,67,75,
65,3,1,,14,,34,43,,60,,81
65,3,2,,15,,38,,54,,74,89
65,3,3,4,,21,,49,57,,78,
65,4,1,3,,25,31,,,61,,83
65,4,2,7,,27,,46,,69,,85
65,4,3,,10,,39,,50,,79,90
65,5,1,,12,,30,,55,,71,80
65,5,2,6,,24,,42,,62,,82
65,5,3,,17,,37,47,56,,76,
65,6,1,9,,20,,41,52,,72,
65,6,2,,13,28,,48,,63,,88
65,6,3,,18,,33,,59,66,77,
66,1,1,4,10,,31,42,,,75,
66,1,2,8,,25,34,,55,60,,
66,1,3,,13,28,,48,,62,,89
66,2,1,5,,27,,43,,65,,83
66,2,2,9,12,,33,,59,,72,
66,2,3,,17,,37,49,,,77,88
66,3,1,6,,20,39,,,66,,85
66,3,2,,,22,,40,56,,74,90
66,3,3,,15,29,,45,57,,76,
66,4,1,,11,,38,,51,61,70,
66,4,2,2,18,,,47,53,,79,
66,4,3,3,,26,,,54,69,,81
66,5,1,,14,,30,,52,63,,80
66,5,2,7,,23,32,,,64,,84
66,5,3,,19,,35,46,,68,73,
66,6,1,,,21,,41,,67,71,82
66,6,2,1,,24,,44,50,,,86
66,6,3,,16,,36,,58,,78,87
67,1,1,2,11,,32,44,,,70,
67,1,2,7,,20,36,,53,63,,
67,1,3,,19,23,,47,,69,,82
67,2,1,1,,26,,41,,64,,85
67,2,2,4,14,,30,,51,,73,
67,2,3,,16,,38,46,,,78,87
67,3,1,3,,21,35,,,67,,81
67,3,2,,,24,,42,54,,71,84
67,3,3,,18,28,,48,58,,79,
67,4,1,,12,,37,,50,60,75,
67,4,2,5,15,,,40,52,,77,
67,4,3,8,,22,,,59,66,,89
67,5,1,,10,,31,,57,61,,86
67,5,2,9,,29,33,,,62,,88
67,5,3,,17,,39,49,,65,74,
67,6,1,,,25,,43,,68,72,80
67,6,2,6,,27,,45,55,,,83
67,6,3,,13,,34,,56,,76,90
68,1,1,,12,,30,40,51,,76,
68,1,2,5,16,,36,49,,,79,
68,1,3,,17,23,,,55,68,,86
68,2,1,2,,25,32,42,,62,,
68,2,2,,18,26,,43,,69,,83
68,2,3,7,,29,35,,57,,72,
68,3,1,8,15,,,46,52,,71,
68,3,2,,,20,31,,58,,77,89
68,3,3,,19,,37,47,,64,,90
68,4,1,,10,,33,44,,,70,80
68,4,2,1,13,,38,,54,,74,
68,4,3,4,,24,,48,,65,,82
68,5,1,,,22,,41,50,66,,81
68,5,2,,14,,39,,,67,73,84
68,5,3,3,,28,,,56,,78,87
68,6,1,6,,21,,,53,60,,85
68,6,2,9,,27,34,,59,61,,
68,6,3,,11,,,45,,63,75,88
69,1,1,,14,,31,41,56,,70,
69,1,2,4,18,,38,45,,,73,
69,1,3,,19,22,,,58,67,,84
69,2,1,3,,23,34,44,,63,,
69,2,2,,13,24,,49,,65,,87
69,2,3,5,,28,37,,53,,78,
69,3,1,9,10,,,40,50,,74,
69,3,2,,,29,33,,59,,75,80
69,3,3,,11,,39,48,,61,,85
69,4,1,,12,,35,42,,,71,81
69,4,2,2,15,,36,,55,,79,
69,4,3,6,,26,,46,,66,,90
69,5,1,,,20,,47,52,60,,82
69,5,2,,17,,30,,,69,72,86
69,5,3,7,,27,,,54,,77,88
69,6,1,1,,21,,,51,62,,83
69,6,2,8,,25,32,,57,64,,
69,6,3,,16,,,43,,68,76,89
70,1,1,,16,,30,43,,62,,80
70,1,2,2,,23,32,45,,,79,
70,1,3,6,,27,37,,54,,,82
70,2,1,3,11,,,41,,,71,81
70,2,2,,12,24,,44,,67,,83
70,2,3,,15,,31,,59,,78,88
70,3,1,,10,,,40,50,,70,89
70,3,2,5,,21,34,,57,,75,
70,3,3,,19,28,,49,,65,77,
70,4,1,1,,,39,,53,60,,86
70,4,2,4,13,,,42,55,66,,
70,4,3,8,,20,,,56,69,74,
70,5,1,,,25,35,,52,63,,84
70,5,2,7,,,36,46,,68,,87
70,5,3,,17,,,48,58,,72,90
70,6,1,,14,22,33,,,61,73,
70,6,2,,18,26,,47,,64,,85
70,6,3,9,,29,38,,51,,76,
71,1,1,,15,,33,42,,60,,83
71,1,2,1,,21,35,49,,,75,
71,1,3,7,,26,39,,55,,,84
71,2,1,2,10,,,40,,,70,86
71,2,2,,17,29,,48,,66,,88
71,2,3,,18,,32,,56,,76,90
71,3,1,,13,,,46,51,62,,89
71,3,2,4,,22,37,,53,,74,
71,3,3,,14,25,,47,,69,79,
71,4,1,3,,,36,,50,,71,80
71,4,2,5,16,,,44,52,63,,
71,4,3,9,,27,,,57,64,77,
71,5,1,,,20,30,,54,61,,81
71,5,2,8,,,38,41,,67,,85
71,5,3,,11,,,43,59,,73,87
71,6,1,,12,23,31,,,65,72,
71,6,2,,19,24,,45,,68,,82
71,6,3,6,,28,34,,58,,78,
72,1,1,,10,22,,41,51,62,,
72,1,2,1,,,37,,57,,74,84
72,1,3,8,17,,,47,,67,75,
72,2,1,3,11,,,43,,61,,81
72,2,2,,16,,38,,,65,72,83
72,2,3,5,,24,,,53,,79,89
72,3,1,,,21,,44,56,,77,80
72,3,2,7,,27,31,,58,,,82
72,3,3,,18,,35,49,,69,,88
72,4,1,,12,,36,,54,60,,85
72,4,2,2,,25,,48,,64,73,
72,4,3,,19,,39,,55,,78,90
72,5,1,4,,20,32,40,,63,,
72,5,2,6,,26,33,,50,,,86
72,5,3,,14,29,,45,,68,76,
72,6,1,,13,23,30,,52,,70,
72,6,2,9,15,,34,42,,66,,
72,6,3,,,28,,46,59,,71,87
73,1,1,,14,29,,40,52,63,,
73,1,2,2,,,30,,54,,70,81
73,1,3,9,19,,,42,,64,78,
73,2,1,1,12,,,45,,60,,80
73,2,2,,15,,39,,,68,71,86
73,2,3,6,,28,,,59,,76,90
73,3,1,,,20,,46,55,,73,85
73,3,2,4,,23,32,,57,,,87
73,3,3,,13,,36,48,,66,,89
73,4,1,,11,,33,,50,61,,82
73,4,2,5,,26,,43,,67,72,
73,4,3,,18,,37,,53,,75,88
73,5,1,3,,22,31,41,,62,,
73,5,2,8,,24,34,,51,,,83
73,5,3,,17,27,,49,,69,74,
73,6,1,,10,21,35,,56,,77,
73,6,2,7,16,,38,44,,65,,
73,6,3,,,25,,47,58,,79,84
74,1,1,1,,22,32,,53,,71,
74,1,2,8,,25,38,,,62,,80
74,1,3,,18,27,,46,,66,73,
74,2,1,3,12,,,43,,64,,85
74,2,2,,14,,35,,59,,79,87
74,2,3,9,,23,,48,,68,,90
74,3,1,5,,29,,40,50,63,,
74,3,2,7,11,,,44,55,,74,
74,3,3,,17,,36,,58,,77,89
74,4,1,,10,,31,42,,,76,82
74,4,2,2,,20,39,,,69,,84
74,4,3,,15,24,,,51,,78,86
74,5,1,4,,26,,41,52,,75,
74,5,2,,13,,30,45,,60,,81
74,5,3,,16,,34,,54,67,,83
74,6,1,,,21,33,,56,61,70,
74,6,2,,19,28,,47,57,,72,
74,6,3,6,,,37,49,,65,,88
75,1,1,1,,20,,42,55,,73,
75,1,2,,15,,38,45,,60,,84
75,1,3,9,,25,,47,,,77,86
75,2,1,,11,26,,44,,61,,80
75,2,2,2,,29,30,,53,,74,
75,2,3,,18,,37,,56,62,,89
75,3,1,3,,24,,40,,63,75,
75,3,2,,13,,33,,59,64,,90
75,3,3,8,,,36,46,,65,76,
75,4,1,,10,21,,43,,66,,83
75,4,2,4,19,,32,,54,,70,
75,4,3,6,,27,34,,57,,79,
75,5,1,,12,22,,41,,67,,82
75,5,2,,16,,39,,50,,71,87
75,5,3,7,,28,,48,58,,78,
75,6,1,5,,23,,49,,68,,81
75,6,2,,14,,31,,51,69,,85
75,6,3,,17,,35,,52,,72,88
76,1,1,,15,,30,41,,62,,80
76,1,2,4,,21,38,,52,,71,
76,1,3,5,16,28,,,56,,75,
76,2,1,9,,22,,42,57,,72,
76,2,2,,18,,33,43,,65,77,
76,2,3,,19,27,,49,,69,,82
76,3,1,2,,25,,47,,60,,84
76,3,2,,13,,34,,53,,73,86
76,3,3,,17,,36,,55,67,,87
76,4,1,3,,20,,44,,61,,89
76,4,2,,14,,32,,51,66,,90
76,4,3,6,,26,,46,58,,78,
76,5,1,,10,,31,45,54,,70,
76,5,2,,11,,35,,59,,76,81
76,5,3,8,,23,39,,,63,,88
76,6,1,1,,24,,40,,64,,83
76,6,2,7,,29,,48,,68,74,
76,6,3,,12,,37,,50,,79,85
77,1,1,,10,20,,45,,63,,82
77,1,2,,14,,31,,55,,70,90
77,1,3,8,,24,,48,,66,76,
77,2,1,,11,,30,41,,60,73,
77,2,2,3,,28,,46,,68,,86
77,2,3,,16,,38,,50,,78,89
77,3,1,,12,21,,44,,62,,80
77,3,2,6,,25,32,,52,,74,
77,3,3,,19,,37,,58,67,,84
77,4,1,1,,23,,40,,61,,85
77,4,2,,17,,34,,56,,71,88
77,4,3,4,,27,,49,59,,77,
77,5,1,5,,22,33,,53,,79,
77,5,2,,18,,36,,57,64,,81
77,5,3,7,,29,,42,,69,,83
77,6,1,2,13,,35,,51,,72,
77,6,2,9,,26,,43,54,,75,
77,6,3,,15,,39,47,,65,,87
78,1,1,,12,22,,42,,61,,83
78,1,2,,17,,37,,51,,71,88
78,1,3,4,,23,,49,,69,79,
78,2,1,,15,,33,40,,64,72,
78,2,2,5,,27,,47,,66,,81
78,2,3,,19,,35,,54,,77,87
78,3,1,,13,20,,43,,60,,86
78,3,2,7,,29,36,,53,,75,
